watches accessories,https://www.dillards.com/p/michael-kors-ladies-jaryn-gold-tone-and-pav-watch/508038206?di=05386051_zi_gold&categoryId=666277&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-10027710599104971011083275111114115
watches accessories,https://www.dillards.com/p/michael-kors-ladies-jaryn-rose-gold-tone-and-pav-watch/508038208?di=05386054_zi_rose_gold&categoryId=666277&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-10027710599104971011083275111114115
watches accessories,https://www.dillards.com/p/michael-kors-jaryn-gold-tone-stainless-steel-bracelet-watch/508038202?di=05386048_zi_gold&categoryId=666277&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-10027710599104971011083275111114115
watches accessories,https://www.dillards.com/p/michael-kors-bradshaw-pav-silver-tone-watch/508038219?di=05386056_zi_silver&categoryId=666277&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-10027710599104971011083275111114115
earings,https://www.dillards.com/p/kate-spade-new-york-small-square-stud-earrings/503623726?di=03959642_zi_white&categoryId=614989&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-10021079711610132115112971001013211010111932121111114107
earings,https://www.dillards.com/p/kate-spade-new-york-glitter-stud-earrings/505586587?di=04581073_zi_gold_glitter&categoryId=614989&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-10021079711610132115112971001013211010111932121111114107
earings,https://www.dillards.com/p/kate-spade-new-york-stud-earrings/507902819?di=05327792_zi_white_multicolor&categoryId=614989&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-10021079711610132115112971001013211010111932121111114107
earings,https://www.dillards.com/p/kate-spade-new-york-pave-crab-stud-earrings/507902748?di=05327722_zi_multicolor&categoryId=614989&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-10021079711610132115112971001013211010111932121111114107
earings,https://www.dillards.com/p/kate-spade-new-york-gingham-and-pearl-stud-earrings/507902763?di=05327763_zi_navy_multicolor&categoryId=614989&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-100210797116101321151129710010132110101119321211111
earings,https://www.dillards.com/p/kate-spade-new-york-asymmetrical-stud-earrings/507899388?di=05325894_zi_blue_multicolor&categoryId=614989&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-10021079711610132115112971001013211010111932121111114107
earings,https://www.dillards.com/p/kate-spade-new-york-gingham-button-stud-earrings/508037781?di=05385731_zi_navy_multicolor&categoryId=614989&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D1%26facet%3D-100210797116101321151129710010132110101119321211111141
sandal shoes,https://www.dillards.com/p/michael-michael-kors-gallagher-fringe-thong-sandals/507924336?di=05331566_zi_luggage&categoryId=425&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D6%26facet%3D-100277736772656976327710599104971011083275111114115
sandal shoes,https://www.dillards.com/p/michael-michael-kors-shelly-sequin-slide-sandals/507809088?di=05286675_zi_silver&categoryId=425&facetCache=pageSize%3D96%26beginIndex%3D0%26orderBy%3D6%26facet%3D-100277736772656976327710599104971011083275111114115
